org_id,org_name,org_type,website,phone,email,street_address,city,county,state,zip,financial_aid_available,financial_aid_notes,registration_policy,registration_opens,confidence,verified_date,notes
burlington-parks-rec,Burlington Parks & Rec,municipal,https://summerbtvparks.com/,,,,Burlington,Chittenden,VT,,,,,,confirmed,,
burlington-sd,Burlington School District,school,https://www.bsdvt.org,8023161681,mlussier@bsdvt.org,,Burlington,Chittenden,VT,05401,,,,,confirmed,,
burlington-surf-club,Burlington Surf Club,private,https://www.burlingtonsurfclub.com/play/surf-club-camp.html,,,,Burlington,Chittenden,VT,,,,,,confirmed,,
burlington-tennis-club,Burlington Tennis Club,private,https://www.burlingtontennis.com/junior-programs,,,,Burlington,Chittenden,VT,,,,,,confirmed,,
camp-common-ground,Camp Common Ground,private,https://www.vermontcamps.org/camps/common-ground-center,,,,,,VT,,,,,,confirmed,,
camp-outright,Camp Outright,private,https://outrightvt.org/camp-outright/,,,,,,VT,,,,,,confirmed,,
capital-soccer,Capital Soccer,private,,,,,,,VT,,,,,,likely,,
catamount-kids,Catamount Kids,private,https://www.catamountkids.com/about-catamount-kids/,,,,St. Albans,Franklin,VT,,,,,,confirmed,,
catamount-outdoor-family-centers,Catamount Outdoor Family Centers,private,https://catamountoutdoor.org/camps,,,,Williston,Chittenden,VT,,,,,,confirmed,,
champ-champlain-adaptive-mounted-program,CHAMP - Champlain Adaptive Mounted Program,private,https://www.vtchamp.org/,,,,South Hero,Grand Isle,VT,,,,,,likely,,
charlotte-equestrian-center-horse-camp,Charlotte Equestrian Center-Horse Camp,private,https://www.charlotteequestriancenter.com/summer-camp-2021,,,,Charlotte,Chittenden,VT,,,,,,likely,,
chittenden-humane-society,Chittenden Humane Society,nonprofit,https://www.hsccvt.org/Camp-Paw-Paw,,,,South Burlington,Chittenden,VT,,,,,,confirmed,,
christ-the-king-saplings-camp,Christ the King Saplings Camp,private,https://cksvt.org/summer-saplings-camps,,,,Burlington,Chittenden,VT,,,,,,confirmed,,
circus-smirkus,Circus Smirkus,private,http://www.smirkus.org/,,,,Greensboro,Orleans,VT,,,,,,confirmed,,
colchester-parks-recreation-department,Colchester Parks & Recreation Department,municipal,https://secure.rec1.com/VT/colchester-vt/catalog/index/f202d123a877ad26c6c9853456771dc0?filter=c2VhcmNoPSZhZ2VHcm91cCU1QjUlNUQ9MQ==,,,,Colchester,Chittenden,VT,,,,,,likely,,
community-connections,Community Connections,private,,8022237936,kbolduc@u32.org,,East Montpelier,Washington,VT,05651,,,,,confirmed,,
community-sailing-center,Community Sailing Center,private,https://communitysailingcenter.org/youth-camps/,,,,Burlington,Chittenden,VT,,,,,,confirmed,,
crow-path,Crow Path,private,https://crowspath.org/programs/youth/preschool/preschool-summer/,,,,,,VT,,,,,,likely,,
davis-studio,Davis Studio,private,https://davisstudiovt.com/summer-camps-at-a-glance-2025/,,,,South Burlington,Chittenden,VT,,,,,,likely,,
dunkley-gymnastics-camp,Dunkley's Gymnastics Camp,private,https://www.dunkleysgymnasticscamp.com/,,,,,,VT,,,,,,confirmed,,
echo,ECHO,private,https://www.echovermont.org/events-programs/camps/,,,,Burlington,Chittenden,VT,,,,,,confirmed,,
eco-explorers-vermont,Eco Explorers Vermont,private,https://www.ecoexplorersvt.org/,,,,South Burlington,Chittenden,VT,,,,,,confirmed,,
elph-summer-camp,ELPH Summer Camp,private,https://www.erinlongworthvt.com/blog/2024/01/03/elph-summer-camp-2019,,,,Milton,Chittenden,VT,,,,,,confirmed,,
enchantment-camps,Enchantment Camps,private,,,,,,,VT,,,,,,likely,,
essex-junction-rec,Essex Junction Parks & Recreation Department,municipal,https://www.ejrp.org/school-age-childcare/summer-full-day-camps,,,,Essex Junction,Chittenden,VT,,,,,,confirmed,,
rec-kids-essex,Essex Recreation (Rec Kids),private,https://www.ejrp.org,8028781376,rgallo@ejrp.org,,Essex,Chittenden,VT,05452,,,,,confirmed,,
farm-wilderness,Farm & Wilderness,private,https://www.farmandwilderness.org/camps/barn-day-camp,,,,Plymouth,Windsor,VT,,,,,,confirmed,,
first-roots-wild-roots,First Roots - Wild Roots,private,https://www.bewilder-vt.com/,,,,,,VT,,,,,,likely,,
flynn-center,Flynn Center,private,https://www.flynnvt.org/Education/Classes,,,,Burlington,Chittenden,VT,,,,,,confirmed,,
footworks-studio-of-dance,Footworks Studio of Dance,private,http://dancefootworks.tripod.com/,,,,Milton,Chittenden,VT,,,,,,likely,,
full-stride-summer-hockey-camp,Full Stride Summer Hockey Camp,private,https://www.fullstride.com/,,,,South Burlington,Chittenden,VT,,,,,,confirmed,,
fusion-802,Fusion 802,private,http://dancefusion802.com/,,,,South Burlington,Chittenden,VT,,,,,,confirmed,,
future-einsteins,Future Einsteins,private,https://futureeinsteinsvt.weebly.com/,,,,,,VT,,,,,,confirmed,,
gan-isreal,Gan Isreal,private,https://www.ganisraelvt.com/,,,,Burlington,Chittenden,VT,,,,,,likely,,
generator-makerspace,Generator Makerspace,private,https://generatorvt.com/youth-programs/,,,,,,VT,,,,,,likely,,
girl-scouts-camp-fansworth,Girl Scouts Camp Fansworth,nonprofit,https://www.girlscoutsgwm.org/,,,,Thetford,Orange,VT,,,,,,confirmed,,
girl-scouts-twin-hills-day-camp,Girl Scouts Twin Hills Day Camp,nonprofit,https://www.girlscoutsgwm.org/,,,,Richmond,Chittenden,VT,,,,,,confirmed,,
gonzos-hd-sports,Gonzos HD Sports,private,https://www.gonzoshdsports.com/,,,,,,VT,,,,,,likely,,
y-gbymca,Greater Burlington YMCA (Y School Age Program),nonprofit,https://www.gbymca.org,8026528153,kcoyle@gbymca.org,266 College St,Burlington,Chittenden,VT,05401,,,,,confirmed,,
green-mountain-field-hockey-academy,Green Mountain Field Hockey Academy,school,,,,,Burlington,Chittenden,VT,,,,,,likely,,
green-mountain-lacrosse-camp,Green Mountain Lacrosse Camp,private,https://www.greenmountainlacrossecamp.com/,,,,,,VT,,,,,,confirmed,,
green-mountain-training-center,Green Mountain Training Center,private,https://www.greenmountaintrainingcenter.com/gymnastics-camps,,,,Williston,Chittenden,VT,,,,,,likely,,
grow-summer-camp-adam-berry-farm,GROW Summer Camp @ Adam's Berry Farm,private,https://www.growfamilyvt.com/summer-camps,,,,Charlotte,Chittenden,VT,,,,,,confirmed,,
hardack-recreation-area-pool,Hard'ack Recreation Area & Pool,municipal,https://stalbansvt.myrec.com/info/activities/program_details.aspx?ProgramID=30283,,,,St Albans,Franklin,VT,,,,,,confirmed,,
healthy-kids,Healthy Kids Extended Day Program Inc.,private,https://www.healthykidsprograms.com,8458393494,vbeattie@healthykidsprograms.com,,Dorset,Bennington,VT,05251,,,,,confirmed,,
heartworks,Heartworks STEAMworks & Loveworks Schools LLC,private,https://www.heartworksvt.com,8028727878,mivory@heartworksvt.com,,Williston,Chittenden,VT,05495,,,,,confirmed,,
hockey-camp,Hockey Camp,private,https://gchockey.com/camps/vermont/cairns-arena,,,,,,VT,,,,,,confirmed,,
hometown-hockey-vt,Hometown Hockey VT,private,https://www.hometownhockeyvt.com/,,,,South Burlington,Chittenden,VT,,,,,,confirmed,,
horizons-day-camp,Horizons Day Camp,private,https://www.vermontcamps.org/camps/aloha-foundation-camp-horizons-day-camp,,,,Fairlee,Orange,VT,,,,,,confirmed,,
hulbert-outdoor-center,Hulbert Outdoor Center,private,https://www.vermontcamps.org/camps/hulbert-outdoor-center,,,,Fairlee,Orange,VT,,,,,,confirmed,,
international-sailing-school-club,International Sailing School & Club,private,https://www.vermontsailingschool.com/,,,,Colchester,Chittenden,VT,,,,,,likely,,
iyengar-yoga-center-yoga-adventure-camp,Iyengar Yoga Center -Yoga Adventure Camp,private,https://www.iycvt.com/workshops,,,,Burlington,Chittenden,VT,,,,,,confirmed,,
jay-peak-resort,Jay Peak Resort,private,https://www.jaypeakresort.com/,,,,Jay,Orleans,VT,,,,,,likely,,
jericho-parks-recreation,Jericho Parks and Recreation,municipal,https://www.jerichovt.org/Summer-Recreation,,,,Jericho,Chittenden,VT,,,,,,likely,,
john-becker-basketball-camp,John Becker Basketball Camp,private,https://johnbeckerbasketballcamp.totalcamps.com/About%20Us,,,,,,VT,,,,,,likely,,
jordan-kents-just-kids-skill-camp,Jordan Kents Just Kids Skill Camp,private,https://jordankentcamps.com/vermont/,,,,Burlington,Chittenden,VT,,,,,,confirmed,,
king-street-center,King Street Center,private,https://www.kingstreetcenter.org,8028626736,dylan@kingstreetcenter.org,416 King St,Burlington,Chittenden,VT,05401,,,,,confirmed,,
lake-champlain-maritime-museum,Lake Champlain Maritime Museum,private,https://www.lcmm.org/camps/day-camps/,,,,,,VT,,,,,,confirmed,,
lake-champlain-waldorf-school,Lake Champlain Waldorf School,school,https://campfindervt.com/directory/lake-champlain-waldorf-school/,,,,Shelburne,Chittenden,VT,,,,,,likely,,
lake-champlain-yacht-club-junior-sailing,Lake Champlain Yacht Club Junior Sailing Program,private,https://lcyc.info/,,,,,,VT,,,,,,likely,,
let-go-your-mind,Let Go Your Mind,private,https://www.letgoyourmind.com/,,,,Burlington,Chittenden,VT,,,,,,confirmed,,
links-at-lang-farm,Links at Lang Farm,private,https://findandgoseek.net/summer-camps,,,,Essex Junction,Chittenden,VT,,,,,,confirmed,,
livery-horse-farm,Livery Horse Farm,private,https://www.liveryhorsefarm.com/,,,,Hinesburg,Chittenden,VT,,,,,,confirmed,,
lost-nation-theater,Lost Nation Theater,private,https://lostnationtheater.org/introduction-to-theater-camps/,,,,,,VT,,,,,,confirmed,,
lotus-lake-camp,Lotus Lake Camp,private,https://www.vermontcamps.org/camps/lotus-lake-camp,,,,Williamstown,Orange,VT,,,,,,confirmed,,
lyric-theatre-company,Lyric Theatre Company,private,https://lyrictheatrevt.org/portfolio/lyric-kids/,,,,South Burlington,Chittenden,VT,,,,,,confirmed,,
makery,Makery,private,https://themakeryvt.com/,,,,Burlington,Chittenden,VT,,,,,,confirmed,,
maple-street-park-pool,Maple Street Park & Pool,private,https://www.ejrp.org/parks-facilities/maple-street-park,,,,Essex Junction,Chittenden,VT,,,,,,confirmed,,
martial-way-self-defense-center,Martial Way Self Defense Center,private,https://martialwayvt.com/wp/index.php/martial-arts-camps-children/,,,,Colchester,Chittenden,VT,,,,,,confirmed,,
mater-christi-camp,Mater Christi Camp,private,https://mcschool.org/school-life/summer-camp/,,,,Burlington,Chittenden,VT,,,,,,confirmed,,
y-aspire,Meeting Waters YMCA (The Y ASPIRE),nonprofit,https://www.meetingwatersymca.org,8024634769,info@meetingwatersymca.org,,Brattleboro,Windham,VT,05301,,,,,confirmed,,
metro-rock,Metro Rock,private,https://vt.metrorock.com/vt-camps,,,,Essex,Chittenden,VT,,,,,,confirmed,,
miller-rec,Miller Community & Recreation Center,municipal,,8028640123,ebyrnes@burlingtonvt.gov,250 Main St,Burlington,Chittenden,VT,05401,,,,,confirmed,,
milton-family-center,Milton Family Community Center,nonprofit,https://www.miltonfamilycenter.org,8028931457,nsener@miltonfamilycenter.org,42 Herrick Ave,Milton,Chittenden,VT,05468,,,,,confirmed,,
milton-rec,Milton Recreation Department,municipal,,,,,Milton,Chittenden,VT,,,,,,likely,,
mmmusd-summer-outdoor-adventure-mt-biking,MMMUSD Summer Outdoor Adventure & Mt Biking Camps,private,https://www.vtoutdooradventures.com/,,,,,,VT,,,,,,confirmed,,
must-love-yarn,Must Love Yarn,private,https://mustloveyarn.com/,,,,,,VT,,,,,,likely,,
myers-memorial-pool,Myers Memorial Pool,private,https://www.winooskivt.gov/1502/Myers-Memorial-Pool,,,,,,VT,,,,,,confirmed,,
new-horizons-farm,New Horizons Farm LLC,private,https://www.newhorizonsvt.com/,,,,,,VT,,,,,,likely,,
new-village-farm,New Village Farm,private,https://www.newvillagefarm.com/summer-camps,,,,Shelburne,Chittenden,VT,,,,,,confirmed,,
north-branch-nature-center,North Branch Nature Center,private,https://northbranchnaturecenter.org/camps/,,,,,,VT,,,,,,confirmed,,
ohavi-zedek-summer-day-camp,Ohavi Zedek Summer Day Camp,private,https://ohavizedek.org/education/familyprograms/ozs-summer-day-camp/,,,,,,VT,,,,,,confirmed,,
one-arts,ONE Arts Community School,private,https://www.oneartsvt.org,8023380028,melanied@oneartsvt.org,,South Burlington,Chittenden,VT,05403,,,,,confirmed,,
onta-studio-ninja-science-camp,Onta Studio - Ninja Science Camp,private,https://www.ontastudio.com/camps,,,,Williston,Chittenden,VT,,,,,,confirmed,,
owl-feet-studio,Owl Feet Studio,private,https://owlfeetstudio.com/,,,,Charlotte,Chittenden,VT,,,,,,confirmed,,
paint-create-kids-camp-by-burlington-paint,Paint & Create Kids Camp by Burlington Paint and Sip,private,https://www.burlingtonpaintandsip.com/paint-n-create-kids-camp/,,,,Burlington,Chittenden,VT,,,,,,likely,,
part-2,Part 2 Kids,private,https://www.part2kids.com,8023437646,erin@part2kids.com,,Williston,Chittenden,VT,05495,,,,,confirmed,,
petra-cliffs,Petra Cliffs,private,https://www.petracliffs.com/camps,,,,Burlington,Chittenden,VT,,,,,,confirmed,,
pony-day-camps,Pony Day Camps,private,https://www.erinlongworthvt.com/pony-camps,,,,Shelburne,Chittenden,VT,,,,,,confirmed,,
purple-knights,Purple Knights,private,https://purpleknightcamps.com/,,,,Colchester,Chittenden,VT,,,,,,confirmed,,
red-clover-camp,Red Clover Camp,private,https://campfindervt.com/region/vermont/?directory_type=summer-camps,,,,Stowe,Lamoille,VT,,,,,,confirmed,,
regal-gymnastics-academy,Regal Gymnastics Academy,school,https://www.regalgym.com/,,,,,,VT,,,,,,confirmed,,
retribe,ReTribe,private,http://www.retribe.org/,,,,,,VT,,,,,,confirmed,,
river-arts,River Arts,private,http://riverartsvt.org/,,,,,,VT,,,,,,confirmed,,
saint-michael-college-summer-camps,Saint Michael's College Summer Camps,university,https://smcathletics.com/sports/2023/8/1/information-summer-camps-index.aspx,,,,,,VT,,,,,,confirmed,,
school-of-creative-performing-arts,School of Creative and Performing Arts (SOCAPA),private,https://waterfrontdiving.com/,,,,,,VT,,,,,,likely,,
shelburne-farms,Shelburne Farms,private,https://shelburnefarms.org/node/3376/2025-summer-camp-information,,,,Shelburne,Chittenden,VT,,,,,,confirmed,,
shelburne-museum-summer-camps,Shelburne Museum Summer Camps,private,https://campfindervt.com/summer-camps-directory/,,,,Shelburne,Chittenden,VT,,,,,,confirmed,,
south-burlington-rec,"South Burlington Parks, Recreation and Waterfront",private,https://secure.rec1.com/VT/south-burlington-vt-recreation-parks/catalog,,,,South Burlington,Chittenden,VT,,,,,,likely,,
south-burlington-sd,South Burlington School District,school,https://www.sbschools.net/,8026528923,,550 Dorset St,South Burlington,Chittenden,VT,,,,,,confirmed,,
spark-studios,Spark Studios,private,https://www.sparkstudiosvt.com/,,,,,,VT,,,,,,confirmed,,
sparrow-project-summer-camp,Sparrow Project Summer Camp,private,https://www.thesparrow-project.com/,,,,,,VT,,,,,,likely,,
spotlight-vermont,Spotlight Vermont,private,https://www.spotlightvermont.com/summerminicamps,,,,South Burlington,Chittenden,VT,,,,,,confirmed,,
spruce-peak-performing-arts-center,Spruce Peak Performing Arts Center,private,http://www.sprucepeakarts.org/,,,,Stowe,Lamoille,VT,,,,,,likely,,
summer-tech-camps,Summer Tech Camps,private,https://hitechyeti.com/,,,,Burlington,Chittenden,VT,,,,,,confirmed,,
sweet-moon-stables,Sweet Moon Stables,private,https://www.sweetmoonstables.com/,,,,Bristol,Addison,VT,,,,,,confirmed,,
talent-skatepark,Talent Skatepark,private,https://talentskatepark.org/campsclinics,,,,Burlington,Chittenden,VT,,,,,,confirmed,,
the-schoolhouse-learning-center,The Schoolhouse Learning Center,private,https://theschoolhousevt.org/,,,,South Burlington,Chittenden,VT,,,,,,confirmed,,
thrive-winooski,Thrive After School and Summer Program,private,,8022338188,rcoffey@winooskivt.gov,,Winooski,Chittenden,VT,05404,,,,,confirmed,,
united-fighting-arts-institute,United Fighting Arts Institute,private,https://ufai.net/,,,,,,VT,,,,,,likely,,
up-north-dance-studio,Up North Dance Studio,private,https://danceupnorth.com/,,,,Milton,Chittenden,VT,,,,,,likely,,
vermont-audubon,Vermont Audubon,nonprofit,https://vt.audubon.org/programs/summer-day-camps,,,,Huntington,Chittenden,VT,,,,,,confirmed,,
vermont-farm-forest-school,Vermont Farm and Forest school,private,https://vermontfarmandforestschool.org/summer-camps/,,,,Roxbury,Washington,VT,,,,,,confirmed,,
vermont-futbol-academy,Vermont Futbol Academy,school,https://www.vermontfutbolacademy.org/,,,,,,VT,,,,,,confirmed,,
vermont-hockey-camps,Vermont Hockey Camps,private,https://www.vermonthockeycamps.com/,,,,Burlington,Chittenden,VT,,,,,,likely,,
vermont-jazz-camp,Vermont Jazz Camp,private,https://vtjazzcamp.com/,,,,,,VT,,,,,,confirmed,,
vermont-lacrosse-camps,Vermont Lacrosse Camps,private,https://vtlaxcamps.com/,,,,,,VT,,,,,,confirmed,,
vermont-simracer,Vermont Simracer,private,https://vtsimracer.com/,,,,,,VT,,,,,,likely,,
very-merry-theater,Very Merry Theater,private,https://www.verymerrytheatre.org/programs,,,,,,VT,,,,,,likely,,
vins-nature-camp,VINS Nature Camp,private,https://vinsweb.org/nature-camp/,,,,,,VT,,,,,,confirmed,,
vyoa-summer-symphony-camp,VYOA Summer Symphony Camp,private,https://www.vyo.org/summersymphony/,,,,,,VT,,,,,,confirmed,,
waldorf-school,Waldorf School,school,https://lakechamplainwaldorfschool.org/summer-camp/,,,,Shelburne,Chittenden,VT,,,,,,confirmed,,
wilder-arts-studio,Wilder Arts Studio,private,,,,,Montpelier,Washington,VT,,,,,,likely,,
williston-day-camps,Williston Day Camps,private,https://sites.google.com/view/willistonreccamp/home,,,,,,VT,,,,,,confirmed,,
williston-recreation-summer-camp,Williston Recreation Summer Camp,private,https://willistonvt.myrec.com/info/activities/program_details.aspx?ProgramID=30213,,,,,,VT,,,,,,confirmed,,
wingspan-studio,Wingspan Studio,private,https://www.wingspanstudioeduc.com/summer-camps-list,,,,Burlington,Chittenden,VT,,,,,,confirmed,,
winooski-recreation-park,Winooski Recreation & Park,private,https://secure.rec1.com/VT/winooski-vt/catalog/index?filter=dGFiJTVCNjg3MCU1RD0xJnNlYXJjaD0mcmVudGFsJTVCZnJvbSU1RD0mcmVudGFsJTVCdG8lNUQ9,,,,,,VT,,,,,,likely,,
winooski-sd,Winooski School District,school,https://www.winooskivt.gov,8026553500,,60 Normand St,Winooski,Chittenden,VT,05404,,,,,confirmed,,
wonder-roots,Wonder Roots,private,https://www.wonderrootsllc.com/,,,,Hinesburg,Chittenden,VT,,,,,,confirmed,,
ymca-camp-abnaki,YMCA Camp Abnaki,nonprofit,https://campabnaki.org/summer-camp-options/day-camp/#overnightR-dates-fees,,,,Hyde Park,Lamoille,VT,,,,,,confirmed,,
ywca-vt,YWCA Vermont Camp Hochelaga,nonprofit,https://ywcavt.org/,,,,Burlington,Chittenden,VT,,,,,,confirmed,,
